"Step","train/loss","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MAX"
"0","0.6931","0.6931","0.6931"
"1","0.701","0.701","0.701"
"2","0.6715","0.6715","0.6715"
"3","0.6986","0.6986","0.6986"
"4","0.6973","0.6973","0.6973"
"5","0.6496","0.6496","0.6496"
"6","0.6355","0.6355","0.6355"
"7","0.6958","0.6958","0.6958"
"8","0.6849","0.6849","0.6849"
"9","0.7124","0.7124","0.7124"
"10","0.607","0.607","0.607"
"11","0.6383","0.6383","0.6383"
"12","0.6643","0.6643","0.6643"
"13","0.6147","0.6147","0.6147"
"14","0.6882","0.6882","0.6882"
"15","0.7116","0.7116","0.7116"
"16","0.7951","0.7951","0.7951"
"17","0.6389","0.6389","0.6389"
"18","0.6561","0.6561","0.6561"
"19","0.5289","0.5289","0.5289"
"20","0.6045","0.6045","0.6045"
"21","0.6119","0.6119","0.6119"
"22","0.6705","0.6705","0.6705"
"23","0.6156","0.6156","0.6156"
"24","0.6562","0.6562","0.6562"
"25","0.4855","0.4855","0.4855"
"26","0.6071","0.6071","0.6071"
"27","0.5422","0.5422","0.5422"
"28","0.5574","0.5574","0.5574"
"29","0.6326","0.6326","0.6326"
"30","0.7464","0.7464","0.7464"
"31","0.5301","0.5301","0.5301"
"32","0.8104","0.8104","0.8104"
"33","0.6718","0.6718","0.6718"
"34","0.6775","0.6775","0.6775"
"35","0.5873","0.5873","0.5873"
"36","0.8825","0.8825","0.8825"
"37","0.7136","0.7136","0.7136"
"38","0.7804","0.7804","0.7804"
"39","0.8161","0.8161","0.8161"
"40","0.6421","0.6421","0.6421"
"41","0.9187","0.9187","0.9187"
"42","0.6013","0.6013","0.6013"
"43","0.8173","0.8173","0.8173"
"44","0.6478","0.6478","0.6478"
"45","0.7498","0.7498","0.7498"
"46","0.738","0.738","0.738"
"47","0.5514","0.5514","0.5514"
"48","0.5564","0.5564","0.5564"
"49","0.6826","0.6826","0.6826"
"50","0.5568","0.5568","0.5568"
"51","0.8354","0.8354","0.8354"
"52","0.6911","0.6911","0.6911"
"53","0.7217","0.7217","0.7217"
"54","0.9118","0.9118","0.9118"
"55","0.7833","0.7833","0.7833"
"56","0.5108","0.5108","0.5108"
"57","0.5102","0.5102","0.5102"
"58","0.8265","0.8265","0.8265"
"59","0.6394","0.6394","0.6394"
"60","0.5752","0.5752","0.5752"
"61","0.8366","0.8366","0.8366"
"62","0.5658","0.5658","0.5658"
"63","0.624","0.624","0.624"
"64","0.8441","0.8441","0.8441"
"65","0.6232","0.6232","0.6232"
"66","0.6196","0.6196","0.6196"
"67","0.7643","0.7643","0.7643"
"68","0.8207","0.8207","0.8207"
