"Step","train/rewards/chosen","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/chosen__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/chosen__MAX"
"0","0","0","0"
"1","-0.020984362810850143","-0.020984362810850143","-0.020984362810850143"
"2","0.0152366291731596","0.0152366291731596","0.0152366291731596"
"3","-0.057128071784973145","-0.057128071784973145","-0.057128071784973145"
"4","-0.11627280712127686","-0.11627280712127686","-0.11627280712127686"
"5","-0.037635982036590576","-0.037635982036590576","-0.037635982036590576"
"6","-0.013285469263792038","-0.013285469263792038","-0.013285469263792038"
"7","-0.1312333643436432","-0.1312333643436432","-0.1312333643436432"
"8","-0.11029736697673798","-0.11029736697673798","-0.11029736697673798"
"9","-0.26759424805641174","-0.26759424805641174","-0.26759424805641174"
"10","-0.20561343431472778","-0.20561343431472778","-0.20561343431472778"
"11","-0.2117564082145691","-0.2117564082145691","-0.2117564082145691"
"12","-0.26972073316574097","-0.26972073316574097","-0.26972073316574097"
"13","-0.21767134964466095","-0.21767134964466095","-0.21767134964466095"
"14","-0.3601774573326111","-0.3601774573326111","-0.3601774573326111"
"15","-0.5575499534606934","-0.5575499534606934","-0.5575499534606934"
"16","-0.5220404863357544","-0.5220404863357544","-0.5220404863357544"
"17","-0.6584709882736206","-0.6584709882736206","-0.6584709882736206"
"18","-0.615856409072876","-0.615856409072876","-0.615856409072876"
"19","-0.5484530925750732","-0.5484530925750732","-0.5484530925750732"
"20","-0.5291060209274292","-0.5291060209274292","-0.5291060209274292"
"21","-0.6903895139694214","-0.6903895139694214","-0.6903895139694214"
"22","-0.6319437026977539","-0.6319437026977539","-0.6319437026977539"
"23","-0.699234127998352","-0.699234127998352","-0.699234127998352"
"24","-0.8279008269309998","-0.8279008269309998","-0.8279008269309998"
"25","-0.38127338886260986","-0.38127338886260986","-0.38127338886260986"
"26","-0.7904971241950989","-0.7904971241950989","-0.7904971241950989"
"27","-0.7114080786705017","-0.7114080786705017","-0.7114080786705017"
"28","-1.0821477174758911","-1.0821477174758911","-1.0821477174758911"
"29","-0.8249651193618774","-0.8249651193618774","-0.8249651193618774"
"30","-1.313694953918457","-1.313694953918457","-1.313694953918457"
"31","-0.6084454655647278","-0.6084454655647278","-0.6084454655647278"
"32","-1.2040963172912598","-1.2040963172912598","-1.2040963172912598"
"33","-1.3987981081008911","-1.3987981081008911","-1.3987981081008911"
