"Step","train/rewards/rejected","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MAX"
"0","0","0","0"
"1","-0.007137631997466087","-0.007137631997466087","-0.007137631997466087"
"2","-0.03456888347864151","-0.03456888347864151","-0.03456888347864151"
"3","-0.05048637464642525","-0.05048637464642525","-0.05048637464642525"
"4","-0.11435912549495697","-0.11435912549495697","-0.11435912549495697"
"5","-0.14335469901561737","-0.14335469901561737","-0.14335469901561737"
"6","-0.15284094214439392","-0.15284094214439392","-0.15284094214439392"
"7","-0.14202815294265747","-0.14202815294265747","-0.14202815294265747"
"8","-0.1793965846300125","-0.1793965846300125","-0.1793965846300125"
"9","-0.28286370635032654","-0.28286370635032654","-0.28286370635032654"
"10","-0.42476165294647217","-0.42476165294647217","-0.42476165294647217"
"11","-0.3593856692314148","-0.3593856692314148","-0.3593856692314148"
"12","-0.35876479744911194","-0.35876479744911194","-0.35876479744911194"
"13","-0.43878066539764404","-0.43878066539764404","-0.43878066539764404"
"14","-0.4387838840484619","-0.4387838840484619","-0.4387838840484619"
"15","-0.5778253078460693","-0.5778253078460693","-0.5778253078460693"
"16","-0.44447213411331177","-0.44447213411331177","-0.44447213411331177"
"17","-0.9449957609176636","-0.9449957609176636","-0.9449957609176636"
"18","-0.9432840943336487","-0.9432840943336487","-0.9432840943336487"
"19","-0.9603577256202698","-0.9603577256202698","-0.9603577256202698"
"20","-1.0417321920394897","-1.0417321920394897","-1.0417321920394897"
"21","-0.9950494766235352","-0.9950494766235352","-0.9950494766235352"
"22","-0.8489034175872803","-0.8489034175872803","-0.8489034175872803"
"23","-1.0792255401611328","-1.0792255401611328","-1.0792255401611328"
"24","-1.0485947132110596","-1.0485947132110596","-1.0485947132110596"
"25","-1.0240355730056763","-1.0240355730056763","-1.0240355730056763"
"26","-1.1172847747802734","-1.1172847747802734","-1.1172847747802734"
"27","-1.3924691677093506","-1.3924691677093506","-1.3924691677093506"
"28","-1.5217595100402832","-1.5217595100402832","-1.5217595100402832"
"29","-1.1582329273223877","-1.1582329273223877","-1.1582329273223877"
"30","-1.4728813171386719","-1.4728813171386719","-1.4728813171386719"
"31","-1.0938653945922852","-1.0938653945922852","-1.0938653945922852"
"32","-1.3684684038162231","-1.3684684038162231","-1.3684684038162231"
"33","-1.6289420127868652","-1.6289420127868652","-1.6289420127868652"
"34","-1.5127909183502197","-1.5127909183502197","-1.5127909183502197"
"35","-1.8830002546310425","-1.8830002546310425","-1.8830002546310425"
"36","-1.3611396551132202","-1.3611396551132202","-1.3611396551132202"
"37","-1.602839469909668","-1.602839469909668","-1.602839469909668"
"38","-1.365352988243103","-1.365352988243103","-1.365352988243103"
"39","-1.463097095489502","-1.463097095489502","-1.463097095489502"
"40","-1.6371930837631226","-1.6371930837631226","-1.6371930837631226"
"41","-1.4711790084838867","-1.4711790084838867","-1.4711790084838867"
"42","-1.9693268537521362","-1.9693268537521362","-1.9693268537521362"
"43","-1.1857796907424927","-1.1857796907424927","-1.1857796907424927"
"44","-1.6477484703063965","-1.6477484703063965","-1.6477484703063965"
"45","-1.172847867012024","-1.172847867012024","-1.172847867012024"
"46","-2.0117475986480713","-2.0117475986480713","-2.0117475986480713"
"47","-1.355618953704834","-1.355618953704834","-1.355618953704834"
"48","-2.0232291221618652","-2.0232291221618652","-2.0232291221618652"
"49","-1.2692099809646606","-1.2692099809646606","-1.2692099809646606"
"50","-1.4737367630004883","-1.4737367630004883","-1.4737367630004883"
"51","-1.1003050804138184","-1.1003050804138184","-1.1003050804138184"
"52","-1.2925035953521729","-1.2925035953521729","-1.2925035953521729"
"53","-1.4024752378463745","-1.4024752378463745","-1.4024752378463745"
"54","-1.1817710399627686","-1.1817710399627686","-1.1817710399627686"
"55","-1.122269630432129","-1.122269630432129","-1.122269630432129"
"56","-1.3218936920166016","-1.3218936920166016","-1.3218936920166016"
"57","-1.3191323280334473","-1.3191323280334473","-1.3191323280334473"
"58","-1.1964443922042847","-1.1964443922042847","-1.1964443922042847"
"59","-1.3818659782409668","-1.3818659782409668","-1.3818659782409668"
"60","-1.1632051467895508","-1.1632051467895508","-1.1632051467895508"
"61","-0.956486701965332","-0.956486701965332","-0.956486701965332"
"62","-1.8733348846435547","-1.8733348846435547","-1.8733348846435547"
"63","-1.3018512725830078","-1.3018512725830078","-1.3018512725830078"
"64","-0.8237370252609253","-0.8237370252609253","-0.8237370252609253"
"65","-1.2731127738952637","-1.2731127738952637","-1.2731127738952637"
"66","-1.3286551237106323","-1.3286551237106323","-1.3286551237106323"
"67","-1.251059651374817","-1.251059651374817","-1.251059651374817"
"68","-1.419791579246521","-1.419791579246521","-1.419791579246521"
"69","-1.6110074520111084","-1.6110074520111084","-1.6110074520111084"
"70","-1.2009035348892212","-1.2009035348892212","-1.2009035348892212"
"71","-1.1914715766906738","-1.1914715766906738","-1.1914715766906738"
"72","-1.762830138206482","-1.762830138206482","-1.762830138206482"
"73","-1.4638410806655884","-1.4638410806655884","-1.4638410806655884"
"74","-0.7186093330383301","-0.7186093330383301","-0.7186093330383301"
"75","-1.5239062309265137","-1.5239062309265137","-1.5239062309265137"
"76","-1.27927565574646","-1.27927565574646","-1.27927565574646"
"77","-1.5123674869537354","-1.5123674869537354","-1.5123674869537354"
"78","-1.777978539466858","-1.777978539466858","-1.777978539466858"
"79","-1.5606462955474854","-1.5606462955474854","-1.5606462955474854"
"80","-1.449434518814087","-1.449434518814087","-1.449434518814087"
"81","-1.230452060699463","-1.230452060699463","-1.230452060699463"
"82","-1.4621233940124512","-1.4621233940124512","-1.4621233940124512"
"83","-1.3791831731796265","-1.3791831731796265","-1.3791831731796265"
"84","-1.4295680522918701","-1.4295680522918701","-1.4295680522918701"
"85","-1.3696722984313965","-1.3696722984313965","-1.3696722984313965"
"86","-2.1230461597442627","-2.1230461597442627","-2.1230461597442627"
"87","-1.192136526107788","-1.192136526107788","-1.192136526107788"
"88","-1.6609586477279663","-1.6609586477279663","-1.6609586477279663"
"89","-1.7453762292861938","-1.7453762292861938","-1.7453762292861938"
"90","-1.2479455471038818","-1.2479455471038818","-1.2479455471038818"
"91","-1.5487639904022217","-1.5487639904022217","-1.5487639904022217"
"92","-1.214489459991455","-1.214489459991455","-1.214489459991455"
"93","-1.1398169994354248","-1.1398169994354248","-1.1398169994354248"
"94","-1.5402162075042725","-1.5402162075042725","-1.5402162075042725"
"95","-1.8406709432601929","-1.8406709432601929","-1.8406709432601929"
"96","-1.0678863525390625","-1.0678863525390625","-1.0678863525390625"
"97","-1.5241830348968506","-1.5241830348968506","-1.5241830348968506"
"98","-1.4857139587402344","-1.4857139587402344","-1.4857139587402344"
"99","-1.4296061992645264","-1.4296061992645264","-1.4296061992645264"
"100","-1.553441047668457","-1.553441047668457","-1.553441047668457"
"101","-1.6574821472167969","-1.6574821472167969","-1.6574821472167969"
"102","-1.4395473003387451","-1.4395473003387451","-1.4395473003387451"
